"Effort","Median"
0,0.000304043782304652
5,0.000304242047929812
10,0.000305044265049158
15,0.0003051338308092
20,0.000305759959146408
25,0.000305186770467102
30,0.000303397091758231
35,0.000304383889669776
40,0.000304523670405008
45,0.000304633871702176
50,0.000304464147160038
55,0.000304557999358495
60,0.0003054201831926
65,0.000305089298943161
70,0.000304092434344226
75,0.000304282107528334
80,0.000304401966460138
85,0.000304863330160449
90,0.000306438312750612
95,0.000304282344589097
100,0.000305256514434715
