"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,1917
0.1,1545
0.11,1127
0.12,514
0.13,474
0.14,388
0.15,384
0.16,12
0.17,12
0.18,12
0.19,12
0.2,12
0.21,12
0.22,12
0.23,12
0.24,12
0.25,12
0.26,12
0.27,12
0.28,12
0.29,12
0.3,12
0.31,12
0.32,12
0.33,12
0.34,12
0.35,12
0.36,12
0.37,12
0.38,12
0.39,12
0.4,12
0.41,12
0.42,12
0.43,12
0.44,12
0.45,12
0.46,12
0.47,12
0.48,12
0.49,12
0.5,12
0.51,12
0.52,12
0.53,12
0.54,12
0.55,12
0.56,12
0.57,12
0.58,12
0.59,12
0.6,12
0.61,12
0.62,12
0.63,12
0.64,12
0.65,12
0.66,12
0.67,12
0.68,12
0.69,12
0.7,12
0.71,12
0.72,12
0.73,12
0.74,12
0.75,12
0.76,12
0.77,12
0.78,12
0.79,12
0.8,12
0.81,12
0.82,12
0.83,12
0.84,12
0.85,12
0.86,12
0.87,12
0.88,12
0.89,12
0.9,12
0.91,12
0.92,12
0.93,12
0.94,12
0.95,12
0.96,12
0.97,12
0.98,12
0.99,12
1.0,12
