"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,1917
0.1,1545
0.11,14
0.12,14
0.13,14
0.14,14
0.15,14
0.16,14
0.17,14
0.18,14
0.19,14
0.2,14
0.21,14
0.22,14
0.23,5
0.24,5
0.25,5
0.26,5
0.27,5
0.28,5
0.29,5
0.3,5
0.31,5
0.32,5
0.33,5
0.34,5
0.35,5
0.36,5
0.37,5
0.38,5
0.39,5
0.4,5
0.41,5
0.42,5
0.43,5
0.44,5
0.45,5
0.46,5
0.47,5
0.48,5
0.49,5
0.5,5
0.51,3
0.52,3
0.53,3
0.54,3
0.55,3
0.56,3
0.57,3
0.58,3
0.59,3
0.6,3
0.61,3
0.62,3
0.63,3
0.64,3
0.65,3
0.66,3
0.67,3
0.68,3
0.69,3
0.7,3
0.71,3
0.72,3
0.73,3
0.74,3
0.75,3
0.76,3
0.77,3
0.78,3
0.79,3
0.8,3
0.81,3
0.82,3
0.83,3
0.84,3
0.85,3
0.86,3
0.87,3
0.88,3
0.89,3
0.9,3
0.91,3
0.92,3
0.93,3
0.94,3
0.95,3
0.96,3
0.97,3
0.98,3
0.99,3
1.0,3
