"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,227
0.1,195
0.11,32
0.12,32
0.13,32
0.14,22
0.15,22
0.16,22
0.17,18
0.18,18
0.19,18
0.2,18
0.21,11
0.22,11
0.23,11
0.24,11
0.25,11
0.26,11
0.27,11
0.28,11
0.29,11
0.3,11
0.31,11
0.32,11
0.33,11
0.34,11
0.35,11
0.36,11
0.37,11
0.38,11
0.39,11
0.4,11
0.41,11
0.42,11
0.43,11
0.44,11
0.45,11
0.46,11
0.47,11
0.48,11
0.49,11
0.5,11
0.51,11
0.52,11
0.53,11
0.54,11
0.55,11
0.56,11
0.57,11
0.58,11
0.59,11
0.6,11
0.61,11
0.62,11
0.63,11
0.64,11
0.65,11
0.66,11
0.67,11
0.68,11
0.69,11
0.7,11
0.71,11
0.72,11
0.73,11
0.74,11
0.75,11
0.76,11
0.77,11
0.78,11
0.79,11
0.8,11
0.81,11
0.82,11
0.83,11
0.84,11
0.85,11
0.86,11
0.87,11
0.88,11
0.89,11
0.9,11
0.91,11
0.92,11
0.93,11
0.94,11
0.95,11
0.96,11
0.97,11
0.98,11
0.99,11
1.0,11
