"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,227
0.1,195
0.11,72
0.12,6
0.13,6
0.14,6
0.15,6
0.16,6
0.17,6
0.18,6
0.19,6
0.2,6
0.21,6
0.22,6
0.23,6
0.24,6
0.25,6
0.26,6
0.27,6
0.28,6
0.29,6
0.3,6
0.31,6
0.32,6
0.33,6
0.34,6
0.35,6
0.36,6
0.37,6
0.38,6
0.39,6
0.4,6
0.41,6
0.42,6
0.43,6
0.44,6
0.45,6
0.46,6
0.47,6
0.48,6
0.49,6
0.5,6
0.51,6
0.52,6
0.53,6
0.54,6
0.55,6
0.56,6
0.57,6
0.58,6
0.59,6
0.6,6
0.61,6
0.62,6
0.63,6
0.64,6
0.65,6
0.66,6
0.67,6
0.68,6
0.69,6
0.7,6
0.71,6
0.72,6
0.73,6
0.74,6
0.75,6
0.76,6
0.77,6
0.78,6
0.79,6
0.8,6
0.81,6
0.82,6
0.83,6
0.84,6
0.85,6
0.86,6
0.87,6
0.88,6
0.89,6
0.9,6
0.91,6
0.92,6
0.93,6
0.94,6
0.95,6
0.96,6
0.97,6
0.98,6
0.99,6
1.0,6
