"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,6
0.05,6
0.06,6
0.07,6
0.08,6
0.09,6
0.1,6
0.11,6
0.12,6
0.13,6
0.14,6
0.15,6
0.16,6
0.17,6
0.18,6
0.19,6
0.2,6
0.21,6
0.22,6
0.23,6
0.24,6
0.25,6
0.26,6
0.27,6
0.28,6
0.29,6
0.3,6
0.31,6
0.32,6
0.33,6
0.34,6
0.35,6
0.36,6
0.37,6
0.38,6
0.39,3
0.4,3
0.41,3
0.42,3
0.43,3
0.44,3
0.45,3
0.46,3
0.47,3
0.48,3
0.49,3
0.5,3
0.51,3
0.52,3
0.53,3
0.54,3
0.55,3
0.56,3
0.57,3
0.58,3
0.59,3
0.6,3
0.61,3
0.62,3
0.63,3
0.64,3
0.65,3
0.66,3
0.67,3
0.68,3
0.69,3
0.7,3
0.71,3
0.72,3
0.73,3
0.74,3
0.75,3
0.76,3
0.77,3
0.78,3
0.79,3
0.8,3
0.81,3
0.82,3
0.83,3
0.84,3
0.85,3
0.86,3
0.87,3
0.88,3
0.89,3
0.9,3
0.91,3
0.92,3
0.93,3
0.94,3
0.95,3
0.96,3
0.97,3
0.98,3
0.99,3
1.0,3
