"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,1917
0.1,1545
0.11,1127
0.12,822
0.13,116
0.14,15
0.15,15
0.16,15
0.17,15
0.18,15
0.19,15
0.2,15
0.21,15
0.22,15
0.23,15
0.24,15
0.25,15
0.26,15
0.27,15
0.28,15
0.29,15
0.3,15
0.31,15
0.32,15
0.33,15
0.34,15
0.35,15
0.36,15
0.37,15
0.38,15
0.39,15
0.4,15
0.41,15
0.42,15
0.43,15
0.44,15
0.45,15
0.46,15
0.47,15
0.48,15
0.49,15
0.5,15
0.51,15
0.52,15
0.53,15
0.54,15
0.55,15
0.56,15
0.57,15
0.58,15
0.59,15
0.6,15
0.61,15
0.62,15
0.63,15
0.64,15
0.65,15
0.66,15
0.67,15
0.68,15
0.69,15
0.7,15
0.71,15
0.72,15
0.73,15
0.74,15
0.75,15
0.76,15
0.77,15
0.78,15
0.79,15
0.8,15
0.81,15
0.82,15
0.83,15
0.84,15
0.85,15
0.86,15
0.87,15
0.88,15
0.89,15
0.9,15
0.91,15
0.92,15
0.93,15
0.94,15
0.95,15
0.96,15
0.97,15
0.98,15
0.99,15
1.0,15
