"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,227
0.1,195
0.11,72
0.12,58
0.13,58
0.14,23
0.15,23
0.16,23
0.17,23
0.18,23
0.19,23
0.2,23
0.21,23
0.22,23
0.23,23
0.24,23
0.25,23
0.26,23
0.27,23
0.28,23
0.29,23
0.3,23
0.31,23
0.32,23
0.33,23
0.34,23
0.35,23
0.36,23
0.37,23
0.38,23
0.39,23
0.4,23
0.41,23
0.42,23
0.43,23
0.44,23
0.45,23
0.46,23
0.47,23
0.48,23
0.49,23
0.5,23
0.51,23
0.52,23
0.53,23
0.54,23
0.55,23
0.56,23
0.57,23
0.58,23
0.59,23
0.6,23
0.61,23
0.62,23
0.63,23
0.64,23
0.65,23
0.66,23
0.67,23
0.68,23
0.69,23
0.7,23
0.71,23
0.72,23
0.73,23
0.74,23
0.75,23
0.76,23
0.77,23
0.78,23
0.79,23
0.8,23
0.81,23
0.82,23
0.83,23
0.84,23
0.85,23
0.86,23
0.87,23
0.88,23
0.89,23
0.9,23
0.91,23
0.92,23
0.93,23
0.94,23
0.95,23
0.96,23
0.97,23
0.98,23
0.99,23
1.0,23
