"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,1917
0.1,349
0.11,62
0.12,62
0.13,9
0.14,9
0.15,9
0.16,9
0.17,9
0.18,9
0.19,9
0.2,9
0.21,9
0.22,9
0.23,9
0.24,9
0.25,9
0.26,9
0.27,9
0.28,9
0.29,9
0.3,9
0.31,9
0.32,9
0.33,9
0.34,9
0.35,9
0.36,9
0.37,9
0.38,9
0.39,9
0.4,9
0.41,9
0.42,9
0.43,9
0.44,9
0.45,9
0.46,9
0.47,9
0.48,9
0.49,9
0.5,9
0.51,9
0.52,9
0.53,9
0.54,9
0.55,9
0.56,9
0.57,9
0.58,9
0.59,9
0.6,9
0.61,9
0.62,9
0.63,9
0.64,9
0.65,9
0.66,9
0.67,9
0.68,9
0.69,9
0.7,9
0.71,9
0.72,9
0.73,9
0.74,9
0.75,9
0.76,9
0.77,9
0.78,9
0.79,9
0.8,9
0.81,9
0.82,9
0.83,9
0.84,9
0.85,9
0.86,9
0.87,9
0.88,9
0.89,9
0.9,9
0.91,9
0.92,9
0.93,9
0.94,9
0.95,9
0.96,9
0.97,9
0.98,9
0.99,9
1.0,9
