"Effort","Median"
0,0.000304043782304652
5,0.000304247127308321
10,0.000304053889295535
15,0.000303972729937177
20,0.000303958638955362
25,0.000303772704631613
30,0.000303292562471991
35,0.000303712342513689
40,0.000304383663534012
45,0.000304607325106894
50,0.000305144452223021
55,0.000304579967276096
60,0.0003036698909309
65,0.00030377556953027
70,0.000304892481947507
75,0.000304325564397265
80,0.000303988361844456
85,0.0003038276630779
90,0.000303916196835829
95,0.000304253950492914
100,0.000304026739328056
