"Effort","Median"
0,0.000304043782304652
5,0.000305014929603866
10,0.000306284257312588
15,0.000304977893567635
20,0.000305590324389506
25,0.000306067124115434
30,0.000305152481630315
35,0.000305777272327008
40,0.000305094144802649
45,0.000305830594616311
50,0.000304773706110476
55,0.000305155166218534
60,0.000305077561834472
65,0.000305114173962764
70,0.000304838820830365
75,0.00030605429224379
80,0.000305360193289461
85,0.000304956457077565
90,0.000305945566298991
95,0.000304801842285555
100,0.000305610694480554
