depart,from,arrival,to
MAO,2551,CIZ,7398
MAO,2551,MBZ,7396
MAO,2551,MNX,2594
MNX,2594,RBB,7397
RBB,7397,MAO,2551
AER,2965,KZN,2990
ASF,2966,KZN,2990
CEK,2968,KZN,2990
CEK,2968,OVB,4078
CSY,6162,DME,4029
DME,4029,CSY,6162
DME,4029,KVX,6142
DME,4029,KZN,2990
DME,4029,MQF,2969
DME,4029,NBC,6969
DME,4029,UUA,6160
GYD,2922,NBC,6969
KEJ,2957,SVX,2975
KJA,4374,OMS,2958
KRR,2960,KZN,2990
KRR,2960,NBC,6969
KUF,4118,LED,2948
KVX,6142,DME,4029
KZN,2990,AER,2965
KZN,2990,ASF,2966
KZN,2990,CEK,2968
KZN,2990,DME,4029
KZN,2990,KRR,2960
KZN,2990,LED,2948
KZN,2990,MRV,2962
KZN,2990,OMS,2958
KZN,2990,ROV,2964
KZN,2990,SVX,2975
LED,2948,KUF,4118
LED,2948,KZN,2990
LED,2948,MQF,2969
LED,2948,NBC,6969
LED,2948,PEE,2973
LED,2948,UFA,2992
MQF,2969,DME,4029
MQF,2969,LED,2948
MRV,2962,KZN,2990
MRV,2962,NBC,6969
NBC,6969,DME,4029
NBC,6969,GYD,2922
NBC,6969,KRR,2960
NBC,6969,LED,2948
NBC,6969,MRV,2962
NBC,6969,NJC,2972
NBC,6969,NUX,4364
NBC,6969,ROV,2964
NBC,6969,SVX,2975
NJC,2972,NBC,6969
NUX,4364,NBC,6969
OMS,2958,KJA,4374
OMS,2958,KZN,2990
OVB,4078,CEK,2968
OVB,4078,SVX,2975
PEE,2973,LED,2948
ROV,2964,KZN,2990
ROV,2964,NBC,6969
SVX,2975,KEJ,2957
SVX,2975,KZN,2990
SVX,2975,NBC,6969
SVX,2975,OVB,4078
UFA,2992,LED,2948
UUA,6160,DME,4029
BQS,2926,OVB,4078
BTK,2936,IKT,2937
GDX,2930,IKT,2937
HTA,2935,IKT,2937
IKT,2937,BTK,2936
IKT,2937,GDX,2930
IKT,2937,HTA,2935
IKT,2937,KCK,
IKT,2937,MJZ,2925
IKT,2937,ODO,8944
IKT,2937,OVB,4078
IKT,2937,ULK,9026
IKT,2937,VVO,2934
KCK,,IKT,2937
MJZ,2925,IKT,2937
MJZ,2925,OVB,4078
ODO,8944,IKT,2937
OVB,4078,BQS,2926
OVB,4078,IKT,2937
OVB,4078,MJZ,2925
ULK,9026,IKT,2937
VVO,2934,IKT,2937
YKS,2923,IKT,2937
AYP,2786,LIM,2789
CUZ,2812,LIM,2789
CUZ,2812,PEM,2808
HUU,6067,LIM,2789
IQT,2801,PCL,2781
IQT,2801,TPP,2806
LIM,2789,AYP,2786
LIM,2789,CUZ,2812
LIM,2789,HUU,6067
LIM,2789,PCL,2781
LIM,2789,TPP,2806
PCL,2781,IQT,2801
PCL,2781,LIM,2789
PCL,2781,TPP,2806
PEM,2808,CUZ,2812
TPP,2806,IQT,2801
TPP,2806,LIM,2789
TPP,2806,PCL,2781
ABJ,253,BOY,247
ABJ,253,OUA,246
ACC,248,OUA,246
BKO,1044,OUA,246
BOY,247,ABJ,253
BOY,247,OUA,246
COO,245,LFW,298
COO,245,OUA,246
DKR,1084,OUA,246
LFW,298,OUA,246
NIM,280,OUA,246
OUA,246,ABJ,253
OUA,246,ACC,248
OUA,246,BKO,1044
OUA,246,BOY,247
OUA,246,COO,245
OUA,246,DKR,1084
OUA,246,LFW,298
OUA,246,NIM,280
CUE,2671,UIO,2688
GPS,2672,GYE,2673
GPS,2672,UIO,2688
GYE,2673,GPS,2672
GYE,2673,SCY,6045
GYE,2673,UIO,2688
MEC,2683,UIO,2688
OCC,2670,UIO,2688
SCY,6045,GYE,2673
SCY,6045,UIO,2688
UIO,2688,CUE,2671
UIO,2688,GYE,2673
UIO,2688,MEC,2683
UIO,2688,OCC,2670
UIO,2688,SCY,6045
AJR,730,LYC,719
ARN,737,GEV,715
ARN,737,HAD,709
ARN,737,JKG,688
ARN,737,KRF,718
ARN,737,KSD,5595
ARN,737,LYC,719
ARN,737,MHQ,442
ARN,737,OER,722
ARN,737,VBY,746
ARN,737,VHM,729
ARN,737,VXO,711
BMA,738,JKG,688
CPH,609,LPI,742
GEV,715,ARN,737
GEV,715,KRF,718
HAD,709,ARN,737
HAD,709,JKG,688
HMV,5599,VHM,729
JKG,688,ARN,737
JKG,688,BMA,738
JKG,688,HAD,709
KRF,718,ARN,737
KRF,718,GEV,715
KSD,5595,ARN,737
KSD,5595,LPI,742
LPI,742,CPH,609
LPI,742,KSD,5595
LYC,719,AJR,730
LYC,719,ARN,737
MHQ,442,ARN,737
MHQ,442,TKU,460
OER,722,ARN,737
TKU,460,MHQ,442
VBY,746,ARN,737
VHM,729,ARN,737
VHM,729,HMV,5599
VXO,711,ARN,737
ADQ,3531,AOS,7167
ADQ,3531,KKB,7168
ADQ,3531,KLN,7162
ADQ,3531,KOY,7170
ADQ,3531,KOZ,7164
ADQ,3531,KPY,7171
ADQ,3531,OLH,7163
AOS,7167,KZB,7176
KKB,7168,SYB,7173
KLN,7162,KYK,7161
KMY,7169,ALZ,7166
KOY,7170,KMY,7169
KOZ,7164,ORI,7165
KPY,7171,UGI,
SYB,7173,KPR,7172
UGI,,KWP,7175
BCD,2423,CEB,4206
BCD,2423,MNL,2397
BKK,3885,MNL,2397
BSO,6019,MNL,2397
BXU,4200,CEB,4206
BXU,4200,MNL,2397
CBO,2399,MNL,2397
CEB,4206,BCD,2423
CEB,4206,BXU,4200
CEB,4206,CGY,2400
CEB,4206,DVO,4090
CEB,4206,HKG,3077
CEB,4206,ILO,2429
CEB,4206,MNL,2397
CEB,4206,MPH,4002
CEB,4206,OZC,4204
CEB,4206,PPS,2433
CEB,4206,TAC,2422
CEB,4206,USU,4199
CEB,4206,ZAM,2404
CGY,2400,CEB,4206
CGY,2400,DVO,4090
CGY,2400,MNL,2397
CRM,6024,MNL,2397
CYP,6023,MNL,2397
DGT,2425,MNL,2397
DPL,4201,MNL,2397
DVO,4090,CEB,4206
DVO,4090,CGY,2400
DVO,4090,MNL,2397
DVO,4090,ZAM,2404
DXB,2188,MNL,2397
GES,6011,ILO,2429
GES,6011,MNL,2397
HGH,3386,KLO,2430
HKG,3077,CEB,4206
ILO,2429,CEB,4206
ILO,2429,GES,6011
ILO,2429,MNL,2397
ILO,2429,PPS,2433
JOL,6013,ZAM,2404
KLO,2430,HGH,3386
KLO,2430,MNL,2397
KLO,2430,PVG,3406
KUL,3304,MNL,2397
LAO,4202,MNL,2397
LGP,4203,MNL,2397
MBT,6025,MNL,2397
MNL,2397,BCD,2423
MNL,2397,BKK,3885
MNL,2397,BSO,6019
MNL,2397,BXU,4200
MNL,2397,CBO,2399
MNL,2397,CEB,4206
MNL,2397,CGY,2400
MNL,2397,CRM,6024
MNL,2397,CYP,6023
MNL,2397,DGT,2425
MNL,2397,DPL,4201
MNL,2397,DVO,4090
MNL,2397,DXB,2188
MNL,2397,GES,6011
MNL,2397,ILO,2429
MNL,2397,KLO,2430
MNL,2397,KUL,3304
MNL,2397,LAO,4202
MNL,2397,LGP,4203
MNL,2397,MBT,6025
MNL,2397,MPH,4002
MNL,2397,OZC,4204
MNL,2397,PPS,2433
MNL,2397,RXS,6026
MNL,2397,SIN,3316
MNL,2397,SUG,6016
MNL,2397,TAC,2422
MNL,2397,TAG,3994
MNL,2397,TUG,6021
MNL,2397,USU,4199
MNL,2397,WNP,6018
MNL,2397,ZAM,2404
MPH,4002,CEB,4206
MPH,4002,MNL,2397
OZC,4204,CEB,4206
OZC,4204,MNL,2397
PPS,2433,CEB,4206
PPS,2433,ILO,2429
PPS,2433,MNL,2397
PPS,2433,USU,4199
PVG,3406,KLO,2430
RXS,6026,MNL,2397
SIN,3316,MNL,2397
SUG,6016,MNL,2397
TAC,2422,CEB,4206
TAC,2422,MNL,2397
TAG,3994,MNL,2397
TUG,6021,MNL,2397
TWT,,ZAM,2404
USU,4199,CEB,4206
USU,4199,MNL,2397
USU,4199,PPS,2433
WNP,6018,MNL,2397
ZAM,2404,CEB,4206
ZAM,2404,DVO,4090
ZAM,2404,JOL,6013
ZAM,2404,MNL,2397
ZAM,2404,TWT,
HEL,421,POR,448
POR,448,HEL,421
BRL,5726,ORD,3830
BRL,5726,STL,3678
DEC,4042,ORD,3830
DEC,4042,STL,3678
JBR,3591,STL,3678
ORD,3830,BRL,5726
ORD,3830,DEC,4042
STL,3678,BRL,5726
STL,3678,DEC,4042
STL,3678,JBR,3591
CGA,7144,HYL,7145
HYL,7145,CGA,7144
HYL,7145,KTN,3808
KTB,7147,KTN,3808
KTN,3808,HYL,7145
KTN,3808,KTB,7147
KTN,3808,MTM,7146
MTM,7146,KTN,3808
ACC,248,ROB,1063
BCN,1218,BJL,1050
BJL,1050,BCN,1218
BJL,1050,DKR,1084
BJL,1050,FNA,1059
DKR,1084,BJL,1050
DKR,1084,FNA,1059
FNA,1059,BJL,1050
FNA,1059,DKR,1084
FNA,1059,LGW,502
FNA,1059,ROB,1063
LGW,502,FNA,1059
ROB,1063,ACC,248
ROB,1063,FNA,1059
AKV,5506,YIK,5504
AKV,5506,YPX,6727
XGR,5512,YVP,154
YGL,62,YGW,5496
YGL,62,YPX,6727
YGL,62,YUL,146
YGW,5496,YGL,62
YGW,5496,YPH,5520
YGW,5496,YSK,5529
YGW,5496,YUD,5515
YGW,5496,YUL,146
YGW,5496,YUY,149
YIK,5504,AKV,5506
YIK,5504,YZG,5535
YKG,5481,YPJ,5508
YKG,5481,YQC,5499
YKG,5481,YVP,154
YKL,80,YQB,111
YKL,80,YVP,154
YKL,80,YWK,161
YKL,80,YZV,202
YPH,5520,YPX,6727
YPH,5520,YUD,5515
YPH,5520,YVP,154
YPJ,5508,YKG,5481
YPJ,5508,YTQ,6728
YPJ,5508,YVP,154
YPX,6727,AKV,5506
YPX,6727,YGL,62
YPX,6727,YPH,5520
YPX,6727,YVP,154
YQB,111,YKL,80
YQB,111,YUL,146
YQC,5499,YKG,5481
YQC,5499,YWB,7253
YSK,5529,YGW,5496
YSK,5529,YUD,5515
YTQ,6728,YPJ,5508
YTQ,6728,YVP,154
YUD,5515,YGW,5496
YUD,5515,YPH,5520
YUD,5515,YSK,5529
YUL,146,YGL,62
YUL,146,YGW,5496
YUL,146,YQB,111
YUL,146,YUY,149
YUY,149,YGW,5496
YUY,149,YUL,146
YVP,154,XGR,5512
YVP,154,YGW,5496
YVP,154,YKG,5481
YVP,154,YKL,80
YVP,154,YPH,5520
YVP,154,YPJ,5508
YVP,154,YPX,6727
YVP,154,YTQ,6728
YWB,7253,YQC,5499
YWB,7253,YZG,5535
YWK,161,YKL,80
YWK,161,YZV,202
YZG,5535,YIK,5504
YZG,5535,YWB,7253
YZV,202,YKL,80
YZV,202,YWK,161
BBO,1122,JIB,4119
BBO,1122,MGQ,5687
DXB,2188,BBO,1122
JED,2072,BBO,1122
JIB,4119,DXB,2188
JIB,4119,JED,2072
JIB,4119,MGQ,5687
MGQ,5687,BBO,1122
MGQ,5687,JIB,4119
MGQ,5687,NBO,4059
NBO,4059,MGQ,5687
BKK,3885,SIN,3316
CAN,3370,SIN,3316
HAK,4120,SIN,3316
HGH,3386,SIN,3316
HKG,3077,SIN,3316
HKT,3179,SIN,3316
KIX,3992,MNL,2397
KIX,3992,TPE,2276
KUL,3304,SIN,3316
MNL,2397,KIX,3992
MNL,2397,SIN,3316
PEN,3308,SIN,3316
PER,3351,SIN,3316
PNH,3034,SIN,3316
REP,3035,SIN,3316
RGN,3239,SIN,3316
SGN,3205,SIN,3316
SIN,3316,BKK,3885
SIN,3316,CAN,3370
SIN,3316,HAK,4120
SIN,3316,HGH,3386
SIN,3316,HKG,3077
SIN,3316,HKT,3179
SIN,3316,KUL,3304
SIN,3316,MNL,2397
SIN,3316,PEN,3308
SIN,3316,PER,3351
SIN,3316,PNH,3034
SIN,3316,REP,3035
SIN,3316,RGN,3239
SIN,3316,SGN,3205
SIN,3316,SWA,4302
SIN,3316,TPE,2276
SWA,4302,SIN,3316
TPE,2276,KIX,3992
TPE,2276,SIN,3316
DUS,345,FDH,382
FDH,382,DUS,345
FDH,382,HAM,342
FDH,382,TXL,351
FKB,4166,HAM,342
GRZ,1609,ZRH,1678
HAM,342,FDH,382
HAM,342,FKB,4166
SZG,1612,ZRH,1678
TXL,351,FDH,382
ZRH,1678,GRZ,1609
ZRH,1678,SZG,1612
BIM,1937,FLL,3533
ELH,1943,FLL,3533
EYW,3875,FLL,3533
EYW,3875,RSW,3793
EYW,3875,TPA,3646
FLL,3533,BIM,1937
FLL,3533,ELH,1943
FLL,3533,EYW,3875
FLL,3533,FPO,1948
FLL,3533,GGT,1941
FLL,3533,GHB,1944
FLL,3533,MCO,3878
FLL,3533,MHH,1930
FLL,3533,TCB,1934
FLL,3533,TPA,3646
FPO,1948,FLL,3533
GGT,1941,FLL,3533
GHB,1944,FLL,3533
GLH,6130,TUP,5773
GNV,3472,MCO,3878
GNV,3472,TPA,3646
JAX,3712,TPA,3646
MCN,3754,MCO,3878
MCO,3878,FLL,3533
MCO,3878,GNV,3472
MCO,3878,MCN,3754
MCO,3878,MHH,1930
MCO,3878,PNS,3564
MCO,3878,RSW,3793
MHH,1930,FLL,3533
MHH,1930,MCO,3878
MHH,1930,PBI,3722
PBI,3722,MHH,1930
PBI,3722,TPA,3646
PNS,3564,MCO,3878
PNS,3564,TPA,3646
RSW,3793,EYW,3875
RSW,3793,MCO,3878
TCB,1934,FLL,3533
TLH,3698,TPA,3646
TPA,3646,EYW,3875
TPA,3646,FLL,3533
TPA,3646,GNV,3472
TPA,3646,JAX,3712
TPA,3646,PBI,3722
TPA,3646,PNS,3564
TPA,3646,TLH,3698
TUP,5773,GLH,6130
AMS,580,TNG,1080
BCN,1218,CMN,1074
BCN,1218,NDR,5673
BCN,1218,TNG,1080
BGY,1525,CMN,1074
BLQ,1538,CMN,1074
BRU,302,CMN,1074
BRU,302,NDR,5673
BRU,302,TNG,1080
CMN,1074,BCN,1218
CMN,1074,BGY,1525
CMN,1074,BLQ,1538
CMN,1074,BRU,302
CMN,1074,CUF,1534
CMN,1074,LGW,502
CMN,1074,LYS,1335
CMN,1074,MPL,1359
CMN,1074,SAW,4317
CMN,1074,TLS,1273
CMN,1074,VCE,1551
CUF,1534,CMN,1074
LGW,502,CMN,1074
LYS,1335,CMN,1074
MPL,1359,CMN,1074
MPL,1359,NDR,5673
NDR,5673,AMS,580
NDR,5673,BCN,1218
NDR,5673,BRU,302
NDR,5673,MPL,1359
NDR,5673,PMI,3998
SAW,4317,CMN,1074
TLS,1273,CMN,1074
TNG,1080,AMS,580
TNG,1080,BCN,1218
TNG,1080,BRU,302
VCE,1551,CMN,1074
AUA,2895,BON,2896
AUA,2895,CCS,2851
AUA,2895,CUR,2897
AUA,2895,FLL,3533
AUA,2895,LSP,2844
AUA,2895,MAR,2848
AUA,2895,RCH,2746
BON,2896,AUA,2895
BON,2896,CUR,2897
CCS,2851,AUA,2895
CUR,2897,AUA,2895
CUR,2897,BON,2896
FLL,3533,AUA,2895
LSP,2844,AUA,2895
MAR,2848,AUA,2895
RCH,2746,AUA,2895
BHK,2980,DME,4029
DME,4029,BHK,2980
DME,4029,FEG,6149
DME,4029,KSQ,6153
DME,4029,NMA,6150
DME,4029,NVI,6485
DME,4029,SKD,2981
DME,4029,STW,2963
DME,4029,TIV,1743
FEG,6149,DME,4029
KSQ,6153,DME,4029
NMA,6150,DME,4029
NVI,6485,DME,4029
SKD,2981,DME,4029
STW,2963,DME,4029
TIV,1743,DME,4029
ANU,2874,PTP,2881
CAY,2774,FDF,2878
FDF,2878,CAY,2774
FDF,2878,PTP,2881
FDF,2878,SDQ,1762
FDF,2878,SLU,2893
PTP,2881,ANU,2874
PTP,2881,FDF,2878
PTP,2881,SBH,6460
PTP,2881,SDQ,1762
PTP,2881,SFG,2879
SBH,6460,PTP,2881
SDQ,1762,FDF,2878
SDQ,1762,PTP,2881
SFG,2879,PTP,2881
SLU,2893,FDF,2878
BHY,6351,XIY,3379
CAN,3370,CKG,3393
CAN,3370,CTU,3395
CAN,3370,SPN,2244
CGK,3275,NNG,3373
CGO,3375,CGQ,4380
CGO,3375,CKG,3393
CGO,3375,CTU,3395
CGO,3375,HET,6345
CGO,3375,HGH,3386
CGO,3375,HRB,3400
CGO,3375,KMG,3382
CGO,3375,URC,3399
CGQ,4380,CGO,3375
CGQ,4380,NKG,3388
CGQ,4380,TNA,4108
CGQ,4380,TSN,3368
CJJ,6008,DYG,6353
CKG,3393,CAN,3370
CKG,3393,CGO,3375
CKG,3393,CSX,3371
CKG,3393,CZX,4109
CKG,3393,DLC,3404
CKG,3393,DYG,6353
CKG,3393,HAK,4120
CKG,3393,HGH,3386
CKG,3393,HKT,3179
CKG,3393,INC,4085
CKG,3393,JHG,4055
CKG,3393,JZH,4301
CKG,3393,KHN,3384
CKG,3393,KMG,3382
CKG,3393,LHW,6431
CKG,3393,LJG,4033
CKG,3393,LXA,4097
CKG,3393,NGB,3387
CKG,3393,NKG,3388
CKG,3393,NNG,3373
CKG,3393,PEK,3364
CKG,3393,PVG,3406
CKG,3393,PZI,6435
CKG,3393,SWA,4302
CKG,3393,SYX,4030
CKG,3393,SZX,3374
CKG,3393,TNA,4108
CKG,3393,TSA,2275
CKG,3393,TSN,3368
CKG,3393,TYN,3369
CKG,3393,URC,3399
CKG,3393,WUH,3376
CKG,3393,XIY,3379
CKG,3393,XMN,3383
CKG,3393,XNN,6366
CKG,3393,YIH,6361
CKG,3393,ZHA,6357
CSX,3371,CKG,3393
CSX,3371,CTU,3395
CSX,3371,FOC,3385
CSX,3371,KMG,3382
CSX,3371,SHE,4144
CSX,3371,WNZ,6392
CSX,3371,XMN,3383
CTU,3395,CAN,3370
CTU,3395,CGO,3375
CTU,3395,CSX,3371
CTU,3395,DSN,6434
CTU,3395,HAK,4120
CTU,3395,HDG,8407
CTU,3395,HET,6345
CTU,3395,HFE,3389
CTU,3395,HGH,3386
CTU,3395,HKG,3077
CTU,3395,HKT,3179
CTU,3395,ICN,3930
CTU,3395,INC,4085
CTU,3395,JHG,4055
CTU,3395,JIQ,8781
CTU,3395,JZH,4301
CTU,3395,KHN,3384
CTU,3395,KMG,3382
CTU,3395,KOW,6379
CTU,3395,KWE,3394
CTU,3395,KWL,3372
CTU,3395,LHW,6431
CTU,3395,LJG,4033
CTU,3395,LUM,6376
CTU,3395,LXA,4097
CTU,3395,MEL,3339
CTU,3395,MLE,3156
CTU,3395,NKG,3388
CTU,3395,NNG,3373
CTU,3395,PEK,3364
CTU,3395,PVG,3406
CTU,3395,PZI,6435
CTU,3395,SHE,4144
CTU,3395,SJW,6347
CTU,3395,SYX,4030
CTU,3395,SZX,3374
CTU,3395,TAO,3390
CTU,3395,TNA,4108
CTU,3395,TSA,2275
CTU,3395,TSN,3368
CTU,3395,TYN,3369
CTU,3395,URC,3399
CTU,3395,WNZ,6392
CTU,3395,WUH,3376
CTU,3395,WUX,6390
CTU,3395,WXN,6403
CTU,3395,XIC,3396
CTU,3395,XIY,3379
CTU,3395,XMN,3383
CTU,3395,XNN,6366
CTU,3395,XUZ,4149
CTU,3395,YIH,6361
CTU,3395,YTY,8876
CZX,4109,CKG,3393
CZX,4109,HRB,3400
CZX,4109,XMN,3383
CZX,4109,ZUH,6355
DLC,3404,CKG,3393
DLC,3404,HGH,3386
DLC,3404,HRB,3400
DLC,3404,TNA,4108
DLC,3404,XUZ,4149
DNH,4308,LHW,6431
DSN,6434,CTU,3395
DSN,6434,SHE,4144
DYG,6353,CJJ,6008
DYG,6353,CKG,3393
FOC,3385,CSX,3371
GXH,,LHW,6431
HAK,4120,CKG,3393
HAK,4120,CTU,3395
HAK,4120,HGH,3386
HAK,4120,NGB,3387
HAK,4120,ZUH,6355
HDG,8407,CTU,3395
HET,6345,CGO,3375
HET,6345,CTU,3395
HFE,3389,CTU,3395
HGH,3386,CGO,3375
HGH,3386,CKG,3393
HGH,3386,CTU,3395
HGH,3386,DLC,3404
HGH,3386,HAK,4120
HGH,3386,TSN,3368
HGH,3386,TYN,3369
HKG,3077,CTU,3395
HKG,3077,YIH,6361
HKG,3077,ZHA,6357
HKT,3179,CKG,3393
HKT,3179,CTU,3395
HRB,3400,CGO,3375
HRB,3400,CZX,4109
HRB,3400,DLC,3404
HRB,3400,INC,4085
HRB,3400,NGB,3387
HRB,3400,NKG,3388
HRB,3400,TNA,4108
HRB,3400,TYN,3369
HRB,3400,WNZ,6392
HRB,3400,WUH,3376
HRB,3400,XIY,3379
HRB,3400,XUZ,4149
ICN,3930,CTU,3395
INC,4085,CKG,3393
INC,4085,CTU,3395
INC,4085,HRB,3400
INC,4085,KMG,3382
INC,4085,KWL,3372
JGN,6432,LHW,6431
JHG,4055,CKG,3393
JHG,4055,CTU,3395
JHG,4055,KMG,3382
JIQ,8781,CTU,3395
JJN,6386,KWE,3394
JJN,6386,WUH,3376
JZH,4301,CKG,3393
JZH,4301,CTU,3395
KHG,3397,URC,3399
KHN,3384,CKG,3393
KHN,3384,CTU,3395
KHN,3384,KMG,3382
KHN,3384,NGB,3387
KMG,3382,CGO,3375
KMG,3382,CKG,3393
KMG,3382,CSX,3371
KMG,3382,CTU,3395
KMG,3382,INC,4085
KMG,3382,JHG,4055
KMG,3382,KHN,3384
KMG,3382,KWE,3394
KMG,3382,LUM,6376
KMG,3382,NGB,3387
KMG,3382,NKG,3388
KMG,3382,TAO,3390
KMG,3382,TNA,4108
KMG,3382,TPE,2276
KMG,3382,WXN,6403
KMG,3382,XIY,3379
KMG,3382,XMN,3383
KMG,3382,XUZ,4149
KOW,6379,CTU,3395
KOW,6379,XMN,3383
KWE,3394,CTU,3395
KWE,3394,JJN,6386
KWE,3394,KMG,3382
KWE,3394,LHW,6431
KWE,3394,SYX,4030
KWE,3394,WNZ,6392
KWE,3394,XUZ,4149
KWL,3372,CTU,3395
KWL,3372,INC,4085
KWL,3372,SYX,4030
LHW,6431,CKG,3393
LHW,6431,CTU,3395
LHW,6431,DNH,4308
LHW,6431,GXH,
LHW,6431,JGN,6432
LHW,6431,KWE,3394
LHW,6431,XIY,3379
LJG,4033,CKG,3393
LJG,4033,CTU,3395
LJG,4033,MIG,6400
LJG,4033,XIY,3379
LUM,6376,CTU,3395
LUM,6376,KMG,3382
LXA,4097,CKG,3393
LXA,4097,CTU,3395
LXA,4097,XNN,6366
LYI,6385,XIY,3379
MEL,3339,CTU,3395
MIG,6400,LJG,4033
MIG,6400,NKG,3388
MIG,6400,SYX,4030
MIG,6400,XNN,6366
MLE,3156,CTU,3395
NGB,3387,CKG,3393
NGB,3387,HAK,4120
NGB,3387,HRB,3400
NGB,3387,KHN,3384
NGB,3387,KMG,3382
NGB,3387,SHE,4144
NGB,3387,SYX,4030
NKG,3388,CGQ,4380
NKG,3388,CKG,3393
NKG,3388,CTU,3395
NKG,3388,HRB,3400
NKG,3388,KMG,3382
NKG,3388,MIG,6400
NKG,3388,SYX,4030
NNG,3373,CGK,3275
NNG,3373,CKG,3393
NNG,3373,CTU,3395
NNG,3373,SGN,3205
NNG,3373,WUH,3376
NTG,5475,WUH,3376
PEK,3364,CKG,3393
PEK,3364,CTU,3395
PEK,3364,WXN,6403
PEK,3364,ZHY,8043
PVG,3406,CKG,3393
PVG,3406,CTU,3395
PVG,3406,SPN,2244
PZI,6435,CKG,3393
PZI,6435,CTU,3395
SGN,3205,NNG,3373
SHE,4144,CSX,3371
SHE,4144,CTU,3395
SHE,4144,DSN,6434
SHE,4144,NGB,3387
SHE,4144,TYN,3369
SHE,4144,XUZ,4149
SHE,4144,YVR,156
SJW,6347,CTU,3395
SPN,2244,CAN,3370
SPN,2244,PVG,3406
SWA,4302,CKG,3393
SYX,4030,CKG,3393
SYX,4030,CTU,3395
SYX,4030,KWE,3394
SYX,4030,KWL,3372
SYX,4030,MIG,6400
SYX,4030,NGB,3387
SYX,4030,NKG,3388
SYX,4030,TNA,4108
SYX,4030,TYN,3369
SYX,4030,WNZ,6392
SYX,4030,YBP,4110
SZX,3374,CKG,3393
SZX,3374,CTU,3395
SZX,3374,WXN,6403
TAO,3390,CTU,3395
TAO,3390,KMG,3382
TNA,4108,CGQ,4380
TNA,4108,CKG,3393
TNA,4108,CTU,3395
TNA,4108,DLC,3404
TNA,4108,HRB,3400
TNA,4108,KMG,3382
TNA,4108,SYX,4030
TNA,4108,XIY,3379
TPE,2276,KMG,3382
TSA,2275,CKG,3393
TSA,2275,CTU,3395
TSN,3368,CGQ,4380
TSN,3368,CKG,3393
TSN,3368,CTU,3395
TSN,3368,HGH,3386
TYN,3369,CKG,3393
TYN,3369,CTU,3395
TYN,3369,HGH,3386
TYN,3369,HRB,3400
TYN,3369,SHE,4144
TYN,3369,SYX,4030
URC,3399,CGO,3375
URC,3399,CKG,3393
URC,3399,CTU,3395
URC,3399,KHG,3397
URC,3399,XIY,3379
UYN,6368,XIY,3379
WNZ,6392,CSX,3371
WNZ,6392,CTU,3395
WNZ,6392,HRB,3400
WNZ,6392,KWE,3394
WNZ,6392,SYX,4030
WUH,3376,CKG,3393
WUH,3376,CTU,3395
WUH,3376,HRB,3400
WUH,3376,JJN,6386
WUH,3376,NNG,3373
WUH,3376,NTG,5475
WUX,6390,CTU,3395
WXN,6403,CTU,3395
WXN,6403,KMG,3382
WXN,6403,PEK,3364
WXN,6403,SZX,3374
XIC,3396,CTU,3395
XIY,3379,BHY,6351
XIY,3379,CKG,3393
XIY,3379,CTU,3395
XIY,3379,HRB,3400
XIY,3379,KMG,3382
XIY,3379,LHW,6431
XIY,3379,LJG,4033
XIY,3379,LYI,6385
XIY,3379,TNA,4108
XIY,3379,URC,3399
XIY,3379,UYN,6368
XIY,3379,XMN,3383
XIY,3379,XNN,6366
XIY,3379,YBP,4110
XIY,3379,ZHY,8043
XMN,3383,CKG,3393
XMN,3383,CSX,3371
XMN,3383,CTU,3395
XMN,3383,CZX,4109
XMN,3383,KMG,3382
XMN,3383,KOW,6379
XMN,3383,XIY,3379
XNN,6366,CKG,3393
XNN,6366,CTU,3395
XNN,6366,LXA,4097
XNN,6366,MIG,6400
XNN,6366,XIY,3379
XUZ,4149,CTU,3395
XUZ,4149,DLC,3404
XUZ,4149,HRB,3400
XUZ,4149,KMG,3382
XUZ,4149,KWE,3394
XUZ,4149,SHE,4144
YBP,4110,SYX,4030
YBP,4110,XIY,3379
YIH,6361,CKG,3393
YIH,6361,CTU,3395
YIH,6361,HKG,3077
YTY,8876,CTU,3395
YVR,156,SHE,4144
ZHA,6357,CKG,3393
ZHA,6357,HKG,3077
ZHY,8043,PEK,3364
ZHY,8043,XIY,3379
ZUH,6355,CZX,4109
ZUH,6355,HAK,4120
LAS,3877,LAX,3484
LAX,3484,LAS,3877
CAI,1128,TLV,1590
TLV,1590,CAI,1128
MCG,5965,NIB,7214
MCG,5965,TCT,7215
NIB,7214,MCG,5965
TCT,7215,TLJ,3423
TLJ,3423,MCG,5965
EGO,6156,NUX,4364
EYK,8428,VKO,2988
GDZ,7041,OVS,6140
LED,2948,VKO,2988
NCU,6151,VKO,2988
NUX,4364,EGO,6156
NUX,4364,TJM,4111
NUX,4364,UFA,2992
NUX,4364,VKO,2988
NYM,6143,OVS,6140
NYM,6143,VKO,2988
OVS,6140,NYM,6143
OVS,6140,SVX,2975
OVS,6140,VKO,2988
SVX,2975,OVS,6140
TJM,4111,NUX,4364
UCT,4368,VKO,2988
UFA,2992,NUX,4364
UFA,2992,VKO,2988
VKO,2988,EYK,8428
VKO,2988,GDZ,7041
VKO,2988,LED,2948
VKO,2988,NCU,6151
VKO,2988,NUX,4364
VKO,2988,NYM,6143
VKO,2988,OVS,6140
VKO,2988,UCT,4368
BKK,3885,DAC,3076
