"Effort","Median"
0,0.000304043782304652
5,0.000299255766786732
10,0.000334854262309546
15,0.000334046765991823
20,0.000348584108748293
25,0.000360375777022597
30,0.000374165816836265
35,0.000382484965238707
40,0.000393870725692545
45,0.000405213077533392
50,0.000417556217387639
55,0.000426996181584059
60,0.000431698873455911
65,0.000441514424991975
70,0.000443508779481137
75,0.000424290849035184
80,0.00039936762158962
85,0.000361085793714783
90,0.000272275976520133
95,0.000116129982154598
100,6.25609565373156e-05
