"Effort","Median"
0,0.000304043782304652
5,0.000301476678174931
10,0.000289742220228872
15,0.000277248694165353
20,0.000263752441276218
25,0.000250678139706329
30,0.000243305559414191
35,0.000232957332871768
40,0.000225369727505721
45,0.000217309086947578
50,0.000211598433290008
55,0.000206114486563037
60,0.000202133135460855
65,0.000197569354525357
70,0.000195813703550036
75,0.000192363569403602
80,0.000189002045838868
85,0.000184044086024942
90,0.00018711884068837
95,0.000192163751272065
100,0.00019357268235852
