"Effort","Median"
0,0.000304043782304652
5,0.000299792220646154
10,0.000335283633111004
15,0.000332492503603754
20,0.000343338774393352
25,0.00035224204560306
30,0.000362446443338997
35,0.000364966193643213
40,0.000372489745369286
45,0.000381597547370241
50,0.000390533067684753
55,0.000391438105799118
60,0.000390328944606849
65,0.000391715355043556
70,0.000360702924403486
75,0.000315261418734906
80,0.000199236574474448
85,0.000121486131683014
90,4.8539395963156e-05
95,6.81141189578902e-06
100,3.05260868419347e-06
